class,AAC,BPNC,CTD,DPC
1,0.912467360496521,0.018277280032634735,0.7852674126625061,0.7866261601448059
1,0.8826117515563965,0.9678537249565125,0.9186137318611145,0.7888791561126709
1,0.28077682852745056,0.6835687756538391,0.8923898339271545,0.6144342422485352
1,0.5419339537620544,0.6244327425956726,0.5278734564781189,0.7433462738990784
1,0.6113455295562744,0.839266836643219,0.9578135013580322,0.8991614580154419
1,0.019129471853375435,0.20329821109771729,0.005215260200202465,0.8768297433853149
1,0.5847663283348083,0.4135057032108307,0.9707100987434387,0.8374943733215332
1,0.9486328959465027,0.902944028377533,0.5415523052215576,0.35686424374580383
1,0.5446546673774719,0.060355108231306076,0.9738648533821106,0.7976887226104736
1,0.3805831968784332,0.4822731018066406,0.3545474410057068,0.43943867087364197
1,0.8555209636688232,0.913697361946106,0.2450682520866394,0.9447832107543945
1,0.8464071750640869,0.8453712463378906,0.04932226985692978,0.8430095314979553
1,0.48780369758605957,0.6520793437957764,0.6110078692436218,0.28024396300315857
1,0.7876859307289124,0.9799513816833496,0.9563726186752319,0.8958688974380493
1,0.9281579256057739,0.5682590007781982,0.9077316522598267,0.10468120127916336
1,0.8928545713424683,0.5014389753341675,0.9133036136627197,0.32213684916496277
1,0.9378992915153503,0.9734859466552734,0.7247670292854309,0.9413040280342102
1,0.9709680080413818,0.9520266652107239,0.9991409778594971,0.9755803942680359
1,0.7579835057258606,0.8050649166107178,0.9408419728279114,0.72905433177948
1,0.4647897481918335,0.7729193568229675,0.7108755111694336,0.15203730762004852
1,0.22539052367210388,0.13503478467464447,0.9601213335990906,0.6411226987838745
1,0.987400472164154,0.8027049899101257,0.7631970643997192,0.5845975875854492
1,0.7205410003662109,0.09837096929550171,0.1546337604522705,0.9509255886077881
1,0.9949713945388794,0.7866352200508118,0.96290522813797,0.9599080681800842
1,0.16651608049869537,0.9777163863182068,0.9198907613754272,0.8884848356246948
1,0.9913392663002014,0.27325889468193054,0.9945018291473389,0.4522937834262848
1,0.6974729895591736,0.502533495426178,0.14703260362148285,0.8314730525016785
1,0.9198216795921326,0.9924986958503723,0.9826854467391968,0.9103650450706482
1,0.9791328310966492,0.9162637591362,0.9433000683784485,0.804773211479187
1,0.9794623255729675,0.23686809837818146,0.9912952184677124,0.584082841873169
1,0.9949617385864258,0.7862111330032349,0.5672179460525513,0.9793680906295776
1,0.3543859124183655,0.8342693448066711,0.7566878199577332,0.8522281050682068
1,0.9752643704414368,0.15911288559436798,0.45606034994125366,0.814992368221283
1,0.5662655234336853,0.2173657864332199,0.46937647461891174,0.7598066926002502
1,0.40054258704185486,0.7666006684303284,0.5842676162719727,0.636696457862854
1,0.9837798476219177,0.6931948661804199,0.9930844306945801,0.6489560008049011
1,0.9516197443008423,0.8630340099334717,0.9800388216972351,0.8699254989624023
1,0.9088061451911926,0.6165992021560669,0.4524398148059845,0.8547869324684143
1,0.8848759531974792,0.3359949290752411,0.9609817862510681,0.9579853415489197
1,0.7976700067520142,0.722813069820404,0.9010279178619385,0.9288878440856934
1,0.9946087598800659,0.9905765056610107,0.8756998181343079,0.9098359942436218
1,0.29897287487983704,0.36002665758132935,0.3215044140815735,0.05305055156350136
1,0.8329660892486572,0.5822530388832092,0.8016366958618164,0.8389816284179688
1,0.1040719747543335,0.7710833549499512,0.04110683500766754,0.1782114952802658
1,0.005400510970503092,0.060795120894908905,0.7235921621322632,0.39283281564712524
1,0.44166627526283264,0.1808929145336151,0.8410853147506714,0.9305513501167297
1,0.45956188440322876,0.558056116104126,0.1593671441078186,0.8657483458518982
1,0.5628993511199951,0.06035314500331879,0.9730229377746582,0.7903600335121155
1,0.35936447978019714,0.6969975829124451,0.8869956731796265,0.8333898186683655
1,0.9513080716133118,0.41921254992485046,0.9968649744987488,0.9656201601028442
1,0.9650958180427551,0.2954656183719635,0.903079628944397,0.8392952084541321
1,0.9893503785133362,0.2071785032749176,0.10326937586069107,0.7792442440986633
